SC1,General Info,ID,,SC1
,,description,,Steering left
,,source,,CETRAN SC1 & SC2
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,Not distinguishing between turning and maneuvering a bend. Does not include swerving
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,turning left
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,-
SC2,General Info,ID,,SC2
,,description,,Steering left
,,source,,CETRAN SC1 & SC3
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"Not distinguishing between turning and maneuvering a bend. Does not include swerving. Identical to SC1, but turning right"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,turning right
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,-
SC3,General Info,ID,,SC3
,,description,,Driving straight
,,source,,CETRAN SC4
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-Cannot specify road_layout straight
-Scenario identified any timestep vehicle is going straight, so even if it turns briefly after that it would be identified as driving straight
-Would be fixed with road_layout tags, or supporting that other tags should not happen later (e.g. turning)"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,-
SC4,General Info,ID,,SC4
,,description,,Vehicle backing up
,,source,,CETRAN SC16
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-Cannot support ""same lane"" definition yet.
-Cannot support ""backing up into ego"" yet. If we use ""potential collision"", ther would be a lot of false positives with other paked or stopped vehicles"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,reversing
,,,Lateral activity,"swerving left, turning left, going straight, turning right, swerving right"
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,-
SC5,General Info,ID,,SC5
,,description,,Oncoming vehicle
,,source,,CETRAN SC20
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-Cannot support ""same lane"" definition yet
-Likely resulting in a lot of FPs without the same lane tag"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,estimated collision
,,,Inter-actor position,front
,,,Inter-actor heading,opposite
,Guest actor,Guest actor type,,vehicle
,,Guest actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,-
SC6,General Info,ID,,SC6
,,description,,Ego vehicle approaching red traffic light
,,source,,CETRAN SC23
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-No explicit support for road layout specification
-No explicity support for approaching the traffic light itself, but can detect if vehicle staying/approaching or leaving controlled lane, and state of traffic line controlling this lane"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,"staying, entering, approaching"
,,,Road type,controlled_lane
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,"Arrow stop, Stop, Flashing stop"
SC7,General Info,ID,,SC7
,,description,,Ego vehicle approaching green traffic light
,,source,,CETRAN SC24
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-No explicit support for road layout specification
-No explicity support for approaching the traffic light itself, but can detect if vehicle staying/approaching or leaving controlled lane, and state of traffic line controlling this lane"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,"staying, entering, approaching"
,,,Road type,controlled_lane
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,"Arrow go, Go"
SC8,General Info,ID,,SC8
,,description,,Ego vehicle approaching amber traffic light
,,source,,CETRAN SC25
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
,,notes,,"-No explicit support for road layout specification
-No explicity support for approaching the traffic light itself, but can detect if vehicle staying/approaching or leaving controlled lane, and state of traffic line controlling this lane"
,Host actor,Host actor type,,vehicle
,,Host actor tags,Longitudinal activity,"accelerating, cruising, decelerating"
,,,Lateral activity,going straight
,,,Road relation,"staying, entering, approaching"
,,,Road type,controlled_lane
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,Guest actor,Guest actor type,,-
,,Guest actor tags,Longitudinal activity,-
,,,Lateral activity,-
,,,Road relation,-
,,,Road type,-
,,,Inter-actor relation,-
,,,Inter-actor position,-
,,,Inter-actor heading,-
,"Environment 
tag",Light state,,"Arrow cauton, Caution, Flashing caution"
SC9,General Info,ID,,SC9
,,description,,Vehicle running red traffic light
,,source,,CETRAN SC26
,,source_file,,VMAD-SG1-11-03 (NL) Scenario Categories_v1.7.pdf
